question_id,title,tags,view_count,answer_count,score,is_answered,creation_date,owner_type,link,year_month
77732855,unable to login to chatgpt on broswers supported by os 10.11,operating-system|openai-api|osx-elcapitan|chatgpt-api,135,0,1,False,2023-12-30 01:00:24,registered,https://stackoverflow.com/questions/77732855/unable-to-login-to-chatgpt-on-broswers-supported-by-os-10-11,2023-12
77729712,Trying to parse an uploaded pdf to split into chunks using Langchain&#39;s,openai-api|pdf.js|langchain|pdfjs-dist|langchain-js,347,0,0,False,2023-12-29 09:03:31,registered,https://stackoverflow.com/questions/77729712/trying-to-parse-an-uploaded-pdf-to-split-into-chunks-using-langchains,2023-12
77728888,Return arguments from function calling with OpenAI API when streaming?,json|next.js|openai-api,2091,4,0,True,2023-12-29 04:51:04,registered,https://stackoverflow.com/questions/77728888/return-arguments-from-function-calling-with-openai-api-when-streaming,2023-12
77725698,How to achieve text streaming in react native using openai api?,reactjs|react-native|openai-api|server-sent-events,9152,5,6,True,2023-12-28 17:09:33,registered,https://stackoverflow.com/questions/77725698/how-to-achieve-text-streaming-in-react-native-using-openai-api,2023-12
77725308,Azure OpenAI Chat how do I connect with an entire SQL Table?,azure|openai-api|azure-openai,1178,1,0,False,2023-12-28 15:22:57,registered,https://stackoverflow.com/questions/77725308/azure-openai-chat-how-do-i-connect-with-an-entire-sql-table,2023-12
77724152,Next js typescript openai API Cannot read properties of undefined (reading &#39;completions&#39;),typescript|next.js|openai-api,120,0,0,False,2023-12-28 06:53:18,registered,https://stackoverflow.com/questions/77724152/next-js-typescript-openai-api-cannot-read-properties-of-undefined-reading-comp,2023-12
77723275,Loading whisper base model from hugging face?,python|machine-learning|pytorch|openai-api,1720,1,-2,False,2023-12-28 02:33:49,registered,https://stackoverflow.com/questions/77723275/loading-whisper-base-model-from-hugging-face,2023-12
77720977,How to import openai package using jupyter notebook?,python|openai-api|large-language-model,2837,1,1,True,2023-12-27 18:09:46,registered,https://stackoverflow.com/questions/77720977/how-to-import-openai-package-using-jupyter-notebook,2023-12
77719933,How to use embeddings as vector_store in Langchain?,python|python-3.x|openai-api|langchain,2014,1,0,True,2023-12-27 12:36:23,registered,https://stackoverflow.com/questions/77719933/how-to-use-embeddings-as-vector-store-in-langchain,2023-12
77719913,OpenAI Function Call using Langchain returns inconsistent response,openai-api|langchain|function-call,803,0,1,False,2023-12-27 12:26:10,registered,https://stackoverflow.com/questions/77719913/openai-function-call-using-langchain-returns-inconsistent-response,2023-12
77718385,Chatbot with RAG project usaing Django REST API + VUE,django-rest-framework|vuejs3|vuetify.js|openai-api|langchain,939,1,0,True,2023-12-27 02:21:20,registered,https://stackoverflow.com/questions/77718385/chatbot-with-rag-project-usaing-django-rest-api-vue,2023-12
77715802,AzureChatOpenAI and AzureOpenAIEmbeddings not working,azure|openai-api|langchain|azure-openai|openaiembeddings,1044,1,0,False,2023-12-26 14:34:46,registered,https://stackoverflow.com/questions/77715802/azurechatopenai-and-azureopenaiembeddings-not-working,2023-12
77715526,ImportError when trying to list available Language Models (LLMs) and Chat Models using langchain,python|openai-api|langchain|large-language-model|chatgpt-api,748,1,0,True,2023-12-26 12:08:17,registered,https://stackoverflow.com/questions/77715526/importerror-when-trying-to-list-available-language-models-llms-and-chat-models,2023-12
77713816,Gemini API : Error when calling .generate_content(prompt),openai-api|large-language-model|faiss|openaiembeddings|google-gemini,6065,1,2,True,2023-12-25 22:26:18,registered,https://stackoverflow.com/questions/77713816/gemini-api-error-when-calling-generate-contentprompt,2023-12
77710781,Redirect to login page after successful login at chatGPT openai,openai-api|chat-gpt-4,1595,1,0,True,2023-12-24 22:31:00,registered,https://stackoverflow.com/questions/77710781/redirect-to-login-page-after-successful-login-at-chatgpt-openai,2023-12
77709076,Certificate verify error while using Anthropic client sdk,openai-api|large-language-model|claude,1595,1,0,True,2023-12-24 06:15:14,registered,https://stackoverflow.com/questions/77709076/certificate-verify-error-while-using-anthropic-client-sdk,2023-12
77707434,How to use ZLUDA for whisper?,gpu|intel|openai-api|openai-whisper,851,0,1,False,2023-12-23 20:16:38,registered,https://stackoverflow.com/questions/77707434/how-to-use-zluda-for-whisper,2023-12
77706345,"cost OpenAI usage in RAG retrievel augmented generation Pipeline (LangChain, FAISS, OpenAI)",token|openai-api|langchain|faiss|retrieval-augmented-generation,885,1,0,False,2023-12-23 10:05:48,registered,https://stackoverflow.com/questions/77706345/cost-openai-usage-in-rag-retrievel-augmented-generation-pipeline-langchain-fai,2023-12
77702835,Get all messages from an OpenAI Thread,openai-api,1675,1,1,False,2023-12-22 18:40:13,registered,https://stackoverflow.com/questions/77702835/get-all-messages-from-an-openai-thread,2023-12
