question_id,title,tags,view_count,answer_count,score,is_answered,creation_date,owner_type,link
75278850,"How to call ChatGPT from C# using HttpClientFactory, I keep getting errors and no responses",c#|.net-7.0|openai-api,3215,2,3,True,2023-01-30 07:30:03,registered,https://stackoverflow.com/questions/75278850/how-to-call-chatgpt-from-c-using-httpclientfactory-i-keep-getting-errors-and-n
75278374,Problem integrating the OpenAI API with my website using XAMPP and PHP,php|curl|xampp|openai-api,612,0,0,False,2023-01-30 06:03:57,registered,https://stackoverflow.com/questions/75278374/problem-integrating-the-openai-api-with-my-website-using-xampp-and-php
75277021,Why does this web-hosted python code result in a 500 internal error?,python|html|apache|openai-api,99,1,0,False,2023-01-30 02:42:08,registered,https://stackoverflow.com/questions/75277021/why-does-this-web-hosted-python-code-result-in-a-500-internal-error
75266549,Fine-tune a davinci model to be similar to InstructGPT,openai-api|gpt-3,1978,2,1,False,2023-01-28 18:09:22,registered,https://stackoverflow.com/questions/75266549/fine-tune-a-davinci-model-to-be-similar-to-instructgpt
75260977,"Hey, I am trying to build a custom environment and training an agent on that",tensorflow|environment|reinforcement-learning|openai-api|stable-baselines,428,0,0,False,2023-01-28 01:42:58,registered,https://stackoverflow.com/questions/75260977/hey-i-am-trying-to-build-a-custom-environment-and-training-an-agent-on-that
75260974,Piping a API Gateway response to client through Lambda handler,amazon-web-services|aws-lambda|aws-api-gateway|openai-api,294,0,3,False,2023-01-28 01:42:36,registered,https://stackoverflow.com/questions/75260974/piping-a-api-gateway-response-to-client-through-lambda-handler
75260462,&quot;Failed to generate image&quot; when using custom Discord bot that uses DALL-E to generate images,python|discord|artificial-intelligence|openai-api,610,0,0,False,2023-01-28 00:56:31,registered,https://stackoverflow.com/questions/75260462/failed-to-generate-image-when-using-custom-discord-bot-that-uses-dall-e-to-gen
75256485,Training / using OpenAI GPT-3 for translations,nlp|translate|openai-api|machine-translation|gpt-3,596,1,1,False,2023-01-27 18:56:11,registered,https://stackoverflow.com/questions/75256485/training-using-openai-gpt-3-for-translations
75252902,OpenAI Embeddings Cosine Similarity Search &#39;Input vector should be 1-D&#39; error,python|openai-api|azure-openai|text-embedding-ada-002,2963,2,1,True,2023-01-27 09:11:32,registered,https://stackoverflow.com/questions/75252902/openai-embeddings-cosine-similarity-search-input-vector-should-be-1-d-error
75239724,OpenAI Embeddings API error: &quot;AttributeError: module &#39;openai&#39; has no attribute &#39;Embedding&#39;&quot;,python|openai-api|azure-openai|text-embedding-ada-002,11529,1,4,True,2023-01-26 05:51:39,registered,https://stackoverflow.com/questions/75239724/openai-embeddings-api-error-attributeerror-module-openai-has-no-attribute
75234258,Unable to call OpenAI API from within a docker container,python|docker|docker-compose|openai-api,1295,0,2,False,2023-01-25 21:52:53,registered,https://stackoverflow.com/questions/75234258/unable-to-call-openai-api-from-within-a-docker-container
75232276,`index` in OpenGPT API output,python|openai-api,241,1,2,True,2023-01-25 18:58:30,registered,https://stackoverflow.com/questions/75232276/index-in-opengpt-api-output
75222608,how to force openai to save the context of the whole chat?,openai-api,1085,1,0,True,2023-01-24 23:02:01,registered,https://stackoverflow.com/questions/75222608/how-to-force-openai-to-save-the-context-of-the-whole-chat
