지점,지점명,일시,평균 전운량(1/10),평균 중하층운량(1/10)
90,속초,2022-01-01,1.8,1
102,백령도,2022-01-01,8.4,6.8
119,수원,2022-01-01,1.9,1.8
216,태백,2022-01-01,1.1,0.8
294,거제,2022-01-01,2.8,1.8
289,산청,2022-01-01,4.6,0.4
264,함양군,2022-01-01,4.6,0.5
263,의령군,2022-01-01,4.4,0.6
162,통영,2022-01-01,3.9,2.1
276,청송군,2022-01-01,1.6,0
155,창원,2022-01-01,3.6,0.4
277,영덕,2022-01-01,1.6,0.6
271,봉화,2022-01-01,0.3,0
259,강진군,2022-01-01,5.5,3.5
232,천안,2022-01-01,1.6,0.3
129,서산,2022-01-01,3.4,1.5
169,흑산도,2022-01-01,4.6,3.8
212,홍천,2022-01-01,0,0
165,목포,2022-01-01,5.8,1.3
188,성산,2022-01-01,4.9,3.1
140,군산,2022-01-01,3.8,0.8
295,남해,2022-01-01,3.9,0.9
278,의성,2022-01-01,1.1,0.1
245,정읍,2022-01-01,4.9,2.9
243,부안,2022-01-01,5.3,1.1
268,진도군,2022-01-01,6.4,6.3
93,북춘천,2022-01-01,0.3,0.3
281,영천,2022-01-01,2,0.6
257,양산시,2022-01-01,3.6,0
202,양평,2022-01-01,1.3,1
189,서귀포,2022-01-01,5,3.4
95,철원,2022-01-01,2.8,1.3
184,제주,2022-01-01,4.6,3
288,밀양,2022-01-01,4,2
258,보성군,2022-01-01,4.8,3.6
112,인천,2022-01-01,1.8,1.1
260,장흥,2022-01-01,5.4,4.3
104,북강릉,2022-01-01,0.5,0.3
252,영광군,2022-01-01,6,1
133,대전,2022-01-01,2.9,1.1
221,제천,2022-01-01,0,0
261,해남,2022-01-01,5.9,5
130,울진,2022-01-01,0,0
185,고산,2022-01-01,4.8,3
177,홍성,2022-01-01,1.9,0.4
156,광주,2022-01-01,5.4,3.1
273,문경,2022-01-01,0.4,0
98,동두천,2022-01-01,2.8,1.1
284,거창,2022-01-01,4.4,2.5
283,경주시,2022-01-01,2.3,0.5
239,세종,2022-01-01,2.1,1.3
159,부산,2022-01-01,3.4,0.4
143,대구,2022-01-01,1.9,0
254,순창군,2022-01-01,5.1,1.9
115,울릉도,2022-01-01,6.6,6.3
272,영주,2022-01-01,0.4,0
127,충주,2022-01-01,1.1,0.1
226,보은,2022-01-01,1.4,0.3
121,영월,2022-01-01,0.6,0
135,추풍령,2022-01-01,4.5,3
192,진주,2022-01-01,3.4,1
105,강릉,2022-01-01,1.5,0.6
170,완도,2022-01-01,5.1,4
172,고창,2022-01-01,5.4,0.1
201,강화,2022-01-01,3.5,2.4
217,정선군,2022-01-01,0,0
106,동해,2022-01-01,0.3,0.3
255,북창원,2022-01-01,4.1,0
247,남원,2022-01-01,4.9,3.3
235,보령,2022-01-01,3.6,1
236,부여,2022-01-01,2.6,1
279,구미,2022-01-01,2.3,1.3
137,상주,2022-01-01,1.9,0.8
146,전주,2022-01-01,4.4,1.9
238,금산,2022-01-01,3.5,1.1
251,고창군,2022-01-01,5.4,1.5
100,대관령,2022-01-01,1,0
248,장수,2022-01-01,5.5,0.9
253,김해시,2022-01-01,4.3,0
211,인제,2022-01-01,0.9,0
114,원주,2022-01-01,1.5,0.9
131,청주,2022-01-01,2,1
244,임실,2022-01-01,4.5,1.4
174,순천,2022-01-01,4.5,1.9
152,울산,2022-01-01,2.9,0
138,포항,2022-01-01,2.3,0.8
266,광양시,2022-01-01,3.5,0.5
262,고흥,2022-01-01,4.9,3.8
99,파주,2022-01-01,5.5,3
285,합천,2022-01-01,3.5,0
136,안동,2022-01-01,1.1,0
168,여수,2022-01-01,3.1,1
203,이천,2022-01-01,0.9,0.6
108,서울,2022-01-01,1.4,1.4
177,홍성,2022-01-02,2.3,2.3
260,장흥,2022-01-02,2.4,0.8
253,김해시,2022-01-02,0.1,0
135,추풍령,2022-01-02,1.3,1.3
192,진주,2022-01-02,0.6,0.1
252,영광군,2022-01-02,4.1,0.6
170,완도,2022-01-02,2.4,1.6
127,충주,2022-01-02,3.5,3.4
201,강화,2022-01-02,4.1,3.4
121,영월,2022-01-02,3,2.6
172,고창,2022-01-02,3.1,0.4
105,강릉,2022-01-02,3,1.3
108,서울,2022-01-02,4.1,4
258,보성군,2022-01-02,2,1.1
104,북강릉,2022-01-02,2.1,2.1
90,속초,2022-01-02,1.9,1.4
283,경주시,2022-01-02,2,1.1
288,밀양,2022-01-02,0.6,0
174,순천,2022-01-02,2.9,1.5
102,백령도,2022-01-02,1.9,1.6
114,원주,2022-01-02,3.6,3.3
226,보은,2022-01-02,3,2.1
146,전주,2022-01-02,2.1,2.1
133,대전,2022-01-02,3.9,3.9
156,광주,2022-01-02,2.6,2.6
138,포항,2022-01-02,2.6,2.6
217,정선군,2022-01-02,3.4,0.8
221,제천,2022-01-02,2.8,2
98,동두천,2022-01-02,4.3,4.1
236,부여,2022-01-02,2.5,1.8
284,거창,2022-01-02,3.3,2.4
273,문경,2022-01-02,2.1,0.6
261,해남,2022-01-02,2.8,2.5
112,인천,2022-01-02,3.5,3.3
